name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,region
Western Michigan University,Michigan,MI,Public,4 Year,10143,12483,22626,15373,25516,11,50900,92200,47,16,North Central
Western New England University,Massachusetts,MA,Private,4 Year,13590,36804,50394,36804,50394,20,56400,103000,44,21,Northeast
Western New Mexico University,New Mexico,NM,Public,4 Year,9136,6824,15960,15231,24367,5,41700,76700,75,4,West
Western Oregon University,Oregon,OR,Public,4 Year,10415,9540,19955,26415,36830,20,44500,79300,50,5,West
Western State Colorado University,Colorado,CO,Public,4 Year,9635,10114,19749,21586,31221,14,44800,81500,47,19,West
Western Washington University,Washington,WA,Public,4 Year,11466,8132,19598,23544,35010,9,55000,99300,45,16,West
Westminster College,Utah,UT,Private,4 Year,9524,34300,43824,34300,43824,5,51700,92200,55,10,West
Westminster College,Missouri,MO,Private,4 Year,10140,27600,37740,27600,37740,8,49400,91600,52,25,North Central
Wheaton College,Massachusetts,MA,Private,4 Year,13424,52626,66050,52626,66050,25,52600,97500,46,28,Northeast
Wheaton College,Illinois,IL,Private,4 Year,10180,36420,46600,36420,46600,11,53700,99700,55,12,North Central
Wheeling Jesuit University,West Virginia,WV,Private,4 Year,9900,29290,39190,29290,39190,7,44800,83400,57,5,South
Whitman College,Washington,WA,Private,4 Year,13174,51764,64938,51764,64938,7,54600,102600,53,33,West
Whitworth University,Washington,WA,Private,4 Year,11496,43640,55136,43640,55136,17,49900,88800,52,18,West
Whitworth University,Washington,WA,Private,4 Year,11496,43640,55136,43640,55136,19,50100,88100,NA,0,West
Wichita State University,Kansas,KS,Public,4 Year,11252,8271,19523,17452,28704,7,48700,87300,57,24,North Central
Widener University,Pennsylvania,PA,Private,4 Year,14446,45948,60394,45948,60394,21,55700,100100,57,13,Northeast
Willamette University,Oregon,OR,Private,4 Year,12440,50074,62514,50074,62514,6,52200,97700,49,14,West
